1	B	12205	19.1886
1	B	20206	34.6509
1	B	33214	-0.337312
1	B	37565	-11.4424
1	B	44418	10.3739
1	B	50823	-3.94382
1	B	62326	-0.665863
1	Y	12208	50.4785
1	Y	17863	46.6895
1	Y	23614	15.8114
1	Y	28467	42.7259
1	Y	32818	43.8515
1	Y	38570	37.0649
1	Y	44321	42.5699
1	Y	50726	-4.44906
1	Y	57579	34.2652
1	Y	61930	40.2915
1	Y	67584	-1.86702
2	B	10128	-0.135807
2	B	13805	-0.158366
2	B	16632	-0.397749
2	B	22234	-0.583535
2	B	25437	-2.13863
2	B	31188	-1.09631
2	B	38666	7.28666
2	B	41493	-8.82698
2	B	43919	-1.4257
2	Y	8957	-0.17874
2	Y	14259	5.6679
2	Y	16434	-0.480113
2	Y	19310	-1.83758
2	Y	22186	-0.583535
2	Y	25388	18.7246
2	Y	28815	37.7037
2	Y	30990	43.0368
2	Y	33817	25.3931
2	Y	37494	32.1309
2	Y	41495	26.8257
